Gender,EmployeeID,MonthlyIncome,PerformanceRating,PercentSalaryHike,JobLevel,Education,JobInvolvement,StockOptionLevel,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,JR_HealthRep,JR_HHRR,JR_LabTec,JR_Man,JR_MftDir,JR_ResDir,JR_ResSci,JR_SaleExc,JR_SaleRep,MaritalStatus,DistanceFromHome,TotalWorkingYears,Age,NumCompaniesWorked,Dept_HHRR,Dept_R&Dev,Dept_Sales,Ed_HHRR,Ed_LifeSci,Ed_Mktg,Ed_Med,Ed_Tech,Ed_Other,BusinessTravel,Attrition
0,1118,191900,3,17,2,3,3,1,4,1.0,3.0,3.0,2,0,3,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,2,1
1,1119,44900,4,21,1,4,3,1,5,2.0,4.0,4.0,1,0,3,0,0,0,0,0,0,0,0,1,3,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0
0,1120,35060,3,11,2,4,2,1,5,2.0,4.0,3.0,4,4,3,0,0,0,0,0,0,1,0,0,1,2,2,2,1,0,0,1,0,1,0,0,0,0,2,0
1,1121,23720,3,12,1,3,3,1,0,2.0,4.0,3.0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0
0,1122,102310,3,13,4,1,3,1,1,1.0,2.0,3.0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,2,1
0,1123,54100,3,18,1,1,3,0,5,2.0,1.0,1.0,4,0,4,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1124,79780,3,16,3,1,3,2,5,3.0,3.0,2.0,2,1,4,0,0,0,0,0,0,1,0,0,2,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,1125,38670,3,11,1,1,4,1,4,3.0,1.0,4.0,4,2,3,0,0,0,0,0,0,0,1,0,3,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1126,28380,3,19,2,3,1,2,5,1.0,2.0,3.0,5,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,1127,46950,3,16,4,3,3,1,14,1.0,4.0,2.0,2,2,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1128,33390,3,16,1,3,2,0,8,4.0,3.0,2.0,2,1,1,0,0,0,0,0,1,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,1129,20800,3,13,2,2,4,0,7,3.0,1.0,2.0,6,7,6,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,1130,20960,4,22,2,4,4,0,5,1.0,1.0,2.0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,1131,62090,3,17,3,1,4,1,5,3.0,4.0,3.0,5,1,2,0,0,0,1,0,0,0,0,0,3,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0
1,1132,180610,3,14,2,5,3,1,10,4.0,1.0,3.0,2,8,7,0,1,0,0,0,0,0,0,0,1,5,1,1,0,0,1,0,0,0,0,0,1,0,2,0
1,1133,171230,3,15,2,5,2,1,4,3.0,4.0,2.0,2,0,3,0,0,0,0,0,0,0,0,1,3,1,0,1,2,0,0,1,0,1,0,0,0,0,1,1
0,1134,23720,3,12,3,2,2,0,1,1.0,1.0,2.0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,0,1,0,0,0,0,0,1,0,1,0
0,1135,48830,3,18,2,3,1,1,10,3.0,4.0,3.0,1,0,9,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,1136,39040,3,15,1,3,3,0,7,4.0,4.0,3.0,2,0,7,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,1137,46270,3,17,2,1,2,1,1,4.0,4.0,3.0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,4,0,1,0,0,0,0,1,0,0,1,0
0,1138,70940,3,14,3,1,3,1,10,1.0,4.0,3.0,2,0,8,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2,1
0,1139,34230,3,15,1,3,3,1,2,1.0,1.0,2.0,4,2,2,0,0,0,0,0,0,1,0,0,2,3,1,2,3,0,1,0,0,0,0,1,0,0,1,1
0,1140,66740,3,17,3,3,3,1,4,1.0,3.0,2.0,2,2,3,0,0,0,0,0,0,1,0,0,1,2,0,3,1,0,1,0,0,0,0,0,0,1,1,0
1,1141,168800,3,14,4,4,3,3,9,4.0,3.0,3.0,2,2,8,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0
0,1142,90940,3,12,1,3,3,1,10,1.0,3.0,3.0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0
1,1143,84460,3,14,4,5,2,0,6,4.0,2.0,3.0,3,1,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0
0,1144,119160,3,15,2,3,2,1,10,3.0,2.0,3.0,3,1,4,0,0,1,0,0,0,0,0,0,1,1,3,3,2,0,0,1,0,0,1,0,0,0,1,0
0,1145,45340,3,13,1,3,3,0,1,4.0,4.0,3.0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
0,1146,98520,3,12,2,3,2,1,20,2.0,1.0,3.0,5,11,10,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,1,0,0,0,0,1,0
1,1147,61510,3,13,2,4,3,1,20,4.0,3.0,3.0,3,3,7,0,0,0,0,0,0,1,0,0,2,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0
0,1148,23020,3,14,2,2,3,0,11,3.0,3.0,4.0,3,4,8,1,0,0,0,0,0,0,0,0,1,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0
1,1149,23620,3,13,2,3,4,1,5,3.0,1.0,3.0,2,1,4,0,1,0,0,0,0,0,0,0,2,0,0,3,3,0,1,0,0,0,0,1,0,0,1,0
0,1150,178610,3,11,1,4,1,2,4,2.0,3.0,2.0,5,1,2,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,1151,191870,3,11,2,3,3,1,5,4.0,4.0,4.0,2,1,4,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,1152,197170,4,21,3,3,2,0,10,4.0,3.0,4.0,1,9,4,0,0,0,0,0,0,1,0,0,1,4,1,2,0,0,1,0,0,0,0,1,0,0,2,0
1,1153,35440,3,18,5,1,2,3,11,2.0,2.0,3.0,3,5,10,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0
1,1154,85000,3,12,2,5,3,0,2,3.0,2.0,3.0,2,1,2,0,0,1,0,0,0,0,0,0,1,4,0,1,2,0,0,1,0,0,0,1,0,0,1,0
0,1155,46610,3,11,2,4,2,0,12,4.0,2.0,2.0,3,1,7,0,0,0,0,0,0,1,0,0,1,4,1,1,0,1,0,0,0,1,0,0,0,0,1,0
0,1156,41030,3,15,5,2,3,1,2,4.0,3.0,2.0,2,0,2,0,0,0,0,0,0,0,1,0,3,1,0,1,3,0,1,0,0,0,0,1,0,0,1,0
0,1157,42490,3,13,2,4,2,1,17,1.0,3.0,3.0,2,12,11,0,0,0,0,0,0,0,1,0,2,0,2,2,1,0,1,0,0,1,0,0,0,0,1,0
0,1158,140260,3,12,2,3,3,0,1,2.0,3.0,2.0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1159,68930,3,17,2,3,3,0,15,4.0,2.0,3.0,3,5,8,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,0,0,1,0,0,0,0,1,0
1,1160,61250,3,13,3,4,3,1,2,1.0,3.0,3.0,3,1,2,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1161,36690,3,19,2,4,3,0,8,1.0,3.0,3.0,2,7,7,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,0,1,2,0
0,1162,100080,3,19,2,3,1,1,4,4.0,1.0,2.0,3,1,2,0,0,1,0,0,0,0,0,0,3,1,0,2,3,0,1,0,0,0,0,1,0,0,1,0
0,1163,23870,3,17,1,2,1,1,5,4.0,4.0,3.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,0,1,0
0,1164,46390,3,11,1,2,2,1,13,3.0,2.0,1.0,2,5,12,0,0,0,0,0,0,0,1,0,1,4,1,2,0,0,1,0,0,0,0,1,0,0,0,0
0,1165,78980,3,15,2,3,2,0,2,4.0,3.0,3.0,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0
0,1166,25340,3,11,2,1,3,0,3,4.0,3.0,4.0,1,1,2,0,0,0,0,0,0,0,1,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,1167,131420,4,25,2,3,3,2,10,2.0,3.0,3.0,4,0,8,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1168,16110,3,14,3,4,2,0,9,2.0,4.0,3.0,2,8,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
0,1169,53630,3,13,3,2,3,0,6,3.0,2.0,3.0,4,4,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,1170,50710,3,17,2,4,2,1,1,1.0,4.0,2.0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,0,1,0,0,0,0,1,0,0,1,0
0,1171,136950,3,13,3,2,3,0,2,2.0,2.0,3.0,3,2,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1172,134020,3,14,1,4,3,1,7,1.0,4.0,3.0,1,1,7,0,0,0,0,0,0,0,1,0,2,0,1,2,3,0,1,0,0,1,0,0,0,0,1,0
1,1173,20290,3,11,2,4,2,1,18,2.0,3.0,3.0,3,1,11,0,0,0,0,0,1,0,0,0,1,4,2,2,1,0,0,1,0,0,0,1,0,0,1,0
0,1174,63770,3,12,2,3,3,2,14,3.0,4.0,3.0,3,5,7,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,1175,54290,3,17,4,3,3,1,16,3.0,4.0,3.0,3,6,8,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,1176,27850,4,21,2,4,3,0,5,1.0,3.0,2.0,2,0,4,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1177,46140,3,16,1,4,3,1,9,1.0,4.0,2.0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0
1,1178,26100,3,15,1,1,3,0,4,2.0,4.0,3.0,2,1,2,0,0,0,0,0,0,0,0,1,2,1,0,2,3,0,1,0,0,1,0,0,0,0,1,0
0,1179,66870,3,19,3,5,3,3,2,3.0,1.0,3.0,0,1,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1180,47240,3,12,2,4,4,1,6,4.0,4.0,2.0,4,1,3,0,0,0,0,0,1,0,0,0,2,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0
1,1181,61790,3,11,2,4,3,0,1,4.0,1.0,2.0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1
1,1182,61200,3,19,2,3,3,0,9,1.0,4.0,3.0,2,3,4,0,0,1,0,0,0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,0,0,0,1,0
0,1183,105960,3,15,2,1,2,0,4,4.0,2.0,3.0,3,0,2,0,0,0,0,0,0,0,1,0,3,3,1,1,3,0,1,0,0,0,0,1,0,0,2,0
0,1184,54670,4,20,1,1,2,0,13,3.0,3.0,2.0,6,1,9,0,0,0,0,0,0,0,1,0,3,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0
0,1185,29960,4,25,2,4,3,0,2,1.0,4.0,4.0,4,2,2,0,0,0,0,0,0,0,0,1,1,1,0,1,4,0,1,0,0,0,0,1,0,0,1,1
0,1186,99980,4,24,3,1,2,2,22,1.0,3.0,2.0,3,4,14,0,0,0,0,0,0,1,0,0,1,3,2,2,2,0,1,0,0,1,0,0,0,0,1,0
0,1187,40780,4,24,2,4,3,1,10,4.0,3.0,1.0,3,9,8,0,0,0,0,0,0,0,1,0,1,2,1,3,4,0,0,1,0,0,0,0,0,1,1,1
1,1188,109200,3,15,1,4,4,1,20,1.0,2.0,3.0,3,0,10,1,0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,0,0,0,1,0
1,1189,62320,3,13,1,3,3,1,8,4.0,3.0,3.0,3,1,7,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,1190,132470,3,14,1,1,3,0,15,4.0,4.0,2.0,3,11,11,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1191,40810,3,13,1,5,3,0,5,3.0,2.0,3.0,3,0,4,1,0,0,0,0,0,0,0,0,3,0,1,2,1,0,1,0,0,0,0,1,0,0,1,0
1,1192,57690,3,11,2,4,3,0,4,4.0,1.0,3.0,3,1,2,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,1193,23940,3,16,2,3,3,1,9,3.0,4.0,3.0,3,1,7,1,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1194,39040,4,22,3,3,2,0,10,1.0,4.0,3.0,3,1,9,0,0,0,0,0,0,0,0,1,1,4,1,2,0,0,1,0,0,0,0,1,0,0,1,0
1,1195,167990,3,14,2,2,2,1,6,2.0,3.0,3.0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,1,2,3,0,0,1,0,1,0,0,0,0,2,1
0,1197,36290,3,16,1,3,4,1,5,4.0,3.0,3.0,2,0,1,0,0,1,0,0,0,0,0,0,2,4,0,2,4,0,0,1,0,1,0,0,0,0,1,0
0,1199,32290,4,25,2,2,2,0,10,3.0,3.0,4.0,2,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,2,0
0,1200,35780,3,14,1,4,3,1,5,3.0,3.0,3.0,2,0,2,0,0,0,1,0,0,0,0,0,1,3,2,2,1,0,1,0,0,1,0,0,0,0,1,0
0,1201,79880,3,18,2,1,3,0,4,3.0,4.0,3.0,3,1,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,1202,42840,3,11,3,3,2,0,4,4.0,2.0,3.0,5,0,3,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0,0,0,0,1,0,0,1,0
0,1203,75530,3,19,2,3,3,0,5,4.0,1.0,1.0,3,0,4,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1204,173280,3,15,1,3,3,2,3,4.0,1.0,3.0,1,2,0,0,0,0,0,0,0,1,0,0,3,3,2,2,2,0,1,0,0,0,0,1,0,0,1,1
0,1205,197010,3,11,2,3,4,0,20,2.0,4.0,2.0,3,9,6,0,0,0,0,0,0,0,1,0,1,5,2,2,0,0,0,1,0,0,0,1,0,0,1,0
1,1206,147320,3,12,4,4,3,0,9,2.0,1.0,3.0,3,1,7,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,1207,92780,4,20,2,4,3,0,4,4.0,3.0,3.0,3,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1208,13590,3,12,1,1,3,0,5,3.0,4.0,3.0,2,0,3,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,1,0,0,0,0,0,1,0,2,0
1,1209,47790,3,14,1,1,3,2,7,4.0,1.0,3.0,3,1,7,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,1,0
0,1210,164220,4,20,1,2,3,1,6,2.0,2.0,3.0,3,0,3,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1211,29960,3,18,3,1,2,1,9,4.0,2.0,2.0,2,0,8,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,0,0,0,1,0,0,2,0
1,1212,12610,3,14,1,3,3,1,4,2.0,3.0,4.0,6,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1,1213,20990,3,12,1,2,3,1,6,2.0,4.0,1.0,2,0,5,0,0,0,0,0,0,1,0,0,2,1,0,2,4,0,1,0,0,1,0,0,0,0,1,1
1,1214,58100,4,21,2,4,3,1,10,3.0,2.0,3.0,2,1,7,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,2,0
0,1215,56470,3,19,1,3,3,0,0,4.0,3.0,3.0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,0,1,0,0,1,0,0,0,0,1,1
0,1216,34200,3,14,2,2,3,0,8,4.0,3.0,3.0,3,3,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,2,0
1,1217,44000,3,17,4,4,2,1,2,1.0,2.0,3.0,3,2,2,0,0,0,0,1,0,0,0,0,1,1,0,1,4,0,0,1,0,0,0,1,0,0,1,0
1,1218,35000,3,16,2,2,2,1,7,4.0,4.0,2.0,2,3,6,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0
1,1219,20660,3,12,5,2,3,1,1,3.0,1.0,2.0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,0,0,1,0,0,1,0,0,0,1,0
0,1220,171690,3,17,2,4,3,2,1,4.0,3.0,3.0,2,0,0,0,0,1,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,1221,41620,3,15,2,4,3,1,9,4.0,3.0,3.0,1,1,8,1,0,0,0,0,0,0,0,0,2,3,1,2,0,0,0,1,0,1,0,0,0,0,2,0
0,1222,92040,4,23,1,3,3,1,7,3.0,3.0,2.0,2,7,7,0,0,0,0,0,0,0,1,0,1,1,1,1,3,0,1,0,0,1,0,0,0,0,1,0
0,1223,32940,3,11,2,4,3,0,5,1.0,2.0,3.0,2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
0,1224,21270,3,11,2,4,2,1,9,4.0,3.0,3.0,3,0,8,0,0,1,0,0,0,0,0,0,2,5,1,1,0,0,0,1,0,1,0,0,0,0,1,0
0,1226,107930,3,11,1,3,2,3,2,2.0,4.0,3.0,1,1,2,0,0,1,0,0,0,0,0,0,3,5,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,1227,100960,3,13,5,4,3,0,4,3.0,3.0,3.0,2,0,3,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1
1,1228,36460,3,14,4,2,4,0,10,2.0,1.0,3.0,3,8,8,0,0,1,0,0,0,0,0,0,3,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0
1,1229,74460,3,19,2,3,3,0,6,1.0,2.0,2.0,3,0,5,0,0,0,0,0,1,0,0,0,3,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,1230,108510,3,16,3,3,4,1,1,4.0,4.0,2.0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,1231,21090,3,13,2,3,3,0,25,1.0,4.0,3.0,3,3,7,0,0,0,1,0,0,0,0,0,1,2,3,2,1,0,1,0,0,0,0,1,0,0,1,0
1,1232,37220,3,14,1,3,3,0,3,4.0,4.0,3.0,0,1,2,0,0,0,0,1,0,0,0,0,2,5,0,2,2,0,1,0,0,1,0,0,0,0,1,0
0,1233,93800,3,16,3,5,2,0,4,1.0,3.0,2.0,2,1,3,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,1234,54860,3,12,1,3,3,1,5,3.0,1.0,3.0,2,0,3,0,0,0,0,0,1,0,0,0,2,0,1,1,3,0,1,0,0,1,0,0,0,0,1,1
0,1235,27420,3,11,4,3,3,1,12,1.0,2.0,3.0,2,2,11,0,0,0,0,0,0,1,0,0,2,4,1,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1236,137570,3,12,2,3,3,1,0,3.0,4.0,3.0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,1237,84630,3,13,2,2,1,0,4,2.0,1.0,3.0,2,1,3,0,0,0,0,0,0,1,0,0,2,3,0,1,1,0,0,1,0,0,1,0,0,0,1,1
0,1238,31620,3,15,5,1,3,0,14,3.0,3.0,2.0,4,4,8,0,1,0,0,0,0,0,0,0,3,0,2,2,2,0,0,1,0,1,0,0,0,0,1,0
1,1239,165980,3,13,2,3,3,0,10,2.0,1.0,3.0,2,6,7,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,1,0,0,2,1
0,1240,66510,4,20,2,3,2,0,9,3.0,2.0,3.0,5,4,2,0,0,1,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0
1,1241,23450,3,15,1,1,3,2,22,1.0,4.0,3.0,0,5,17,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,1,0,0,1,0,0,0,0,1,0
1,1242,34200,3,13,1,3,1,2,2,2.0,1.0,2.0,3,2,1,0,0,0,0,0,0,1,0,0,2,0,2,2,1,0,0,1,0,1,0,0,0,0,1,0
0,1243,43730,3,14,1,3,3,0,1,3.0,4.0,3.0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0
0,1244,47590,4,21,5,3,3,0,4,4.0,4.0,4.0,2,1,3,1,0,0,0,0,0,0,0,0,1,5,0,2,1,1,0,0,0,1,0,0,0,0,1,0
1,1245,53010,3,16,1,4,3,1,10,4.0,3.0,3.0,3,1,8,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
0,1246,36730,3,14,1,4,3,1,1,4.0,4.0,4.0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,0,0,0,0,0,1,0,0,1,1
0,1247,47680,3,11,3,5,2,1,2,2.0,4.0,2.0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1
1,1248,12740,3,19,1,5,2,0,5,4.0,3.0,2.0,3,1,4,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0
0,1249,49000,3,11,1,4,2,0,3,1.0,3.0,3.0,3,0,2,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,1,0,0,0,0,1,0,0,1,1
0,1250,104660,3,13,3,4,3,0,2,4.0,4.0,3.0,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1251,170070,3,12,4,1,2,1,1,2.0,1.0,4.0,2,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,4,0,1,0,0,1,0,0,0,0,1,0
0,1252,29090,3,11,4,2,2,0,5,3.0,1.0,3.0,2,1,3,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,2,0
0,1253,57650,3,14,1,1,3,1,1,3.0,4.0,3.0,2,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,1254,45990,3,15,3,2,2,1,1,4.0,1.0,3.0,3,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1255,24040,3,12,2,3,3,0,1,1.0,3.0,2.0,6,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
0,1256,31720,4,20,4,3,3,1,9,4.0,3.0,3.0,1,1,7,1,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,1,0,1,0,0,0,0,2,0
0,1257,20330,3,14,1,4,1,1,12,3.0,4.0,3.0,3,3,7,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0
0,1258,102090,3,13,2,4,3,1,22,2.0,3.0,3.0,2,15,8,0,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,1,0,0,1,0,0,0,1,1
1,1259,86200,3,13,1,2,2,1,9,2.0,3.0,3.0,2,8,7,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
1,1260,20640,3,16,3,3,2,0,1,2.0,2.0,3.0,3,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,2,0,1,0,0,1,0,0,0,0,1,0
1,1262,38380,3,16,3,4,3,1,1,4.0,4.0,3.0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,1263,45910,3,16,1,4,1,0,1,1.0,3.0,3.0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,4,0,1,0,0,0,0,0,1,0,1,1
0,1264,25610,4,22,1,1,3,1,2,3.0,3.0,2.0,3,2,2,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,1,0,0,0,0,1,0,0,1,1
1,1265,15630,3,12,3,1,3,2,4,2.0,1.0,2.0,3,1,3,0,0,0,0,0,0,1,0,0,3,0,0,2,2,0,1,0,0,0,0,1,0,0,1,0
1,1266,48980,3,15,3,4,3,2,4,3.0,1.0,3.0,2,2,3,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
1,1267,47890,4,20,3,4,3,1,2,3.0,4.0,2.0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0
1,1268,31800,3,14,1,4,3,1,15,1.0,4.0,3.0,2,8,12,0,1,0,0,0,0,0,0,0,2,5,1,1,0,0,0,1,0,1,0,0,0,0,2,0
0,1269,65490,4,20,3,3,3,0,9,2.0,1.0,2.0,3,1,8,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,2,0
1,1270,63880,3,13,1,2,2,0,2,3.0,1.0,3.0,6,2,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0
1,1271,112440,3,12,2,2,3,1,7,4.0,4.0,2.0,3,1,7,0,0,0,0,0,0,1,0,0,3,2,1,1,1,0,0,1,0,1,0,0,0,0,1,0
0,1272,160320,3,13,4,3,3,0,7,1.0,3.0,4.0,2,0,7,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
