ID,Active,Gender,Age,Marital ST,Income,Salary Hike,Years in Co.,Job Role,Job Level,Department,Performance,Env. Satisf,Job Satisf,Job Involv,Yr. since promo,No. training,WorkLifeBalance,YearsWithCurrManager,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,Education,EducationField,DistanceFromHome
1255,Yes,Male,1,Single,24040,12,1,Manager,2,Sales,3,1.0,3.0,3,0,6,2.0,1,0,0,0,3,Marketing,0
1256,No,Male,1,Single,31720,20,9,Healthcare Representative,4,Sales,4,4.0,3.0,3,1,1,3.0,7,1,0,0,3,Life Sciences,4
1257,No,Male,1,Single,20330,14,12,Research Scientist,1,Research & Development,3,3.0,4.0,1,3,3,3.0,7,1,1,0,4,Medical,0
1258,Yes,Male,2,Married,102090,13,22,Sales Executive,2,Sales,3,2.0,3.0,3,15,2,3.0,8,1,2,0,4,Marketing,4
1259,No,Female,1,Single,86200,13,9,Research Scientist,1,Research & Development,3,2.0,3.0,2,8,2,3.0,7,1,1,0,2,Technical Degree,1
1260,No,Female,1,Married,20640,16,1,Sales Executive,3,Research & Development,3,2.0,2.0,2,0,3,3.0,0,0,0,2,3,Life Sciences,3
1262,No,Female,1,Married,38380,16,1,Research Scientist,3,Research & Development,3,4.0,4.0,3,0,2,3.0,1,1,0,0,4,Medical,1
1263,Yes,Female,2,Single,45910,16,1,Sales Executive,1,Research & Development,3,1.0,3.0,1,0,6,3.0,0,0,2,4,4,Technical Degree,0
1264,Yes,Male,1,Single,25610,22,2,Sales Executive,1,Research & Development,4,3.0,3.0,3,2,3,2.0,2,1,0,0,1,Medical,2
1265,No,Female,2,Divorced,15630,12,4,Research Scientist,3,Research & Development,3,2.0,1.0,3,1,3,2.0,3,2,0,2,1,Medical,0
1266,No,Female,1,Married,48980,15,4,Manufacturing Director,3,Research & Development,3,3.0,1.0,3,2,2,3.0,3,2,1,1,4,Technical Degree,1
1267,No,Female,1,Married,47890,20,2,Sales Executive,3,Research & Development,4,3.0,4.0,3,0,2,2.0,0,1,0,3,4,Life Sciences,0
1268,No,Female,1,Single,31800,14,15,Human Resources,1,Sales,3,1.0,4.0,3,8,2,3.0,12,1,1,0,4,Life Sciences,5
1269,No,Male,1,Married,65490,20,9,Manufacturing Director,3,Research & Development,4,2.0,1.0,3,1,3,2.0,8,0,0,0,3,Medical,3
1270,No,Female,1,Married,63880,13,2,Laboratory Technician,1,Human Resources,3,3.0,1.0,2,2,6,3.0,2,0,0,1,2,Life Sciences,0
1271,No,Female,1,Divorced,112440,12,7,Research Scientist,2,Sales,3,4.0,4.0,3,1,3,2.0,7,1,1,1,2,Life Sciences,2
1272,No,Male,1,Divorced,160320,13,7,Human Resources,4,Sales,3,1.0,3.0,3,0,2,4.0,7,0,0,0,3,Marketing,0
1273,No,Male,1,Married,23620,11,9,Sales Executive,2,Research & Development,3,1.0,4.0,3,7,2,3.0,8,0,0,0,3,Other,4
1274,No,Male,2,Single,163280,17,10,Manufacturing Director,2,Research & Development,3,4.0,4.0,3,9,2,3.0,9,3,1,0,3,Medical,5
1275,No,Female,2,Divorced,83760,14,27,Research Scientist,4,Sales,3,2.0,3.0,3,13,2,2.0,8,3,2,2,4,Marketing,0
1276,No,Male,3,Single,166060,11,21,Laboratory Technician,1,Research & Development,3,1.0,1.0,3,7,6,2.0,9,0,2,3,3,Technical Degree,0
1277,No,Female,1,Divorced,86060,14,17,Sales Executive,2,Sales,3,3.0,3.0,3,12,3,3.0,8,2,1,0,2,Marketing,0
1278,No,Male,3,Divorced,22720,17,5,Research Scientist,3,Research & Development,3,4.0,3.0,3,0,2,3.0,2,1,2,1,3,Medical,1
1279,No,Female,1,Single,20180,13,6,Laboratory Technician,2,Research & Development,3,2.0,2.0,3,0,5,3.0,3,0,0,0,3,Life Sciences,0
1280,No,Female,2,Divorced,70830,12,1,Sales Executive,1,Research & Development,3,2.0,1.0,3,0,5,3.0,0,1,2,1,2,Medical,0
1281,No,Female,1,Married,40840,13,3,Sales Representative,2,Human Resources,3,2.0,1.0,3,1,3,2.0,2,1,0,2,3,Other,1
1282,Yes,Male,1,Married,144110,18,1,Laboratory Technician,4,Sales,3,4.0,3.0,4,0,2,2.0,0,3,0,0,2,Life Sciences,1
1283,No,Male,3,Single,23080,19,4,Research Scientist,3,Research & Development,3,1.0,3.0,2,1,4,2.0,3,1,2,3,4,Life Sciences,2
1284,No,Female,1,Married,48410,11,5,Sales Representative,1,Research & Development,3,3.0,2.0,3,0,3,3.0,4,0,0,0,4,Life Sciences,5
1285,No,Female,1,Single,42850,21,1,Sales Executive,3,Research & Development,4,3.0,2.0,1,1,2,3.0,0,1,0,0,2,Medical,0
1286,No,Male,1,Married,97150,15,10,Manufacturing Director,2,Sales,3,2.0,2.0,2,0,1,3.0,9,1,1,0,4,Life Sciences,0
1287,No,Male,1,Married,43200,17,1,Sales Representative,2,Research & Development,3,2.0,4.0,3,0,2,3.0,0,0,0,1,3,Life Sciences,0
1288,No,Female,1,Single,21320,18,11,Research Director,2,Research & Development,3,3.0,4.0,3,1,3,3.0,8,0,1,0,3,Medical,5
1289,No,Male,1,Single,101240,14,15,Healthcare Representative,2,Research & Development,3,3.0,1.0,4,2,2,3.0,8,1,1,0,4,Medical,0
1290,No,Female,2,Married,54730,13,0,Sales Executive,1,Human Resources,3,4.0,1.0,1,0,3,4.0,0,0,1,2,3,Human Resources,2
1291,No,Female,1,Single,52070,17,5,Sales Executive,3,Research & Development,3,1.0,3.0,3,0,3,4.0,2,3,1,2,3,Life Sciences,0
1292,No,Male,2,Divorced,164370,15,4,Manager,3,Research & Development,3,2.0,2.0,3,0,0,3.0,2,1,1,4,3,Medical,1
1293,No,Male,1,Married,22960,18,10,Human Resources,4,Sales,3,4.0,4.0,3,3,2,2.0,0,1,1,0,3,Life Sciences,3
1294,No,Female,1,Single,40690,13,6,Human Resources,3,Research & Development,3,2.0,3.0,3,0,5,3.0,4,0,0,0,4,Life Sciences,4
1295,No,Female,3,Married,74410,12,1,Laboratory Technician,2,Research & Development,3,1.0,4.0,3,1,4,3.0,0,1,2,1,3,Life Sciences,0
1296,No,Male,2,Divorced,24300,13,13,Laboratory Technician,2,Sales,3,2.0,4.0,4,1,2,3.0,9,2,1,3,1,Marketing,2
1297,No,Male,1,Married,58780,14,5,Research Scientist,1,Research & Development,3,1.0,2.0,3,1,1,3.0,3,0,0,0,2,Medical,1
1298,No,Male,3,Single,26440,11,6,Sales Executive,2,Human Resources,3,4.0,4.0,3,0,2,2.0,2,1,3,2,1,Medical,0
1299,No,Male,1,Divorced,64390,22,0,Laboratory Technician,2,Research & Development,4,3.0,1.0,3,0,2,3.0,0,3,0,1,3,Medical,2
1300,No,Female,2,Married,24510,17,4,Manufacturing Director,5,Research & Development,3,4.0,4.0,2,0,2,3.0,3,0,1,1,4,Life Sciences,5
1301,No,Male,1,Married,63920,21,11,Sales Representative,1,Sales,4,3.0,4.0,4,10,2,3.0,8,1,1,0,2,Technical Degree,1
1302,Yes,Female,2,Single,97140,22,9,Research Scientist,2,Sales,4,3.0,4.0,3,4,0,3.0,7,0,0,0,2,Medical,0
1303,No,Male,2,Married,60770,16,22,Healthcare Representative,1,Research & Development,3,3.0,2.0,2,11,2,2.0,11,2,2,0,3,Medical,1
1304,No,Female,2,Single,24500,12,10,Sales Representative,5,Research & Development,3,3.0,4.0,3,1,2,1.0,0,1,1,0,4,Life Sciences,1
1305,No,Male,1,Divorced,92500,12,11,Manufacturing Director,1,Research & Development,3,3.0,2.0,3,2,0,2.0,7,3,1,0,3,Life Sciences,1
1306,No,Male,2,Married,20740,15,10,Laboratory Technician,1,Research & Development,3,3.0,1.0,3,9,3,2.0,5,1,2,1,1,Medical,2
1307,No,Male,1,Single,101690,14,11,Research Scientist,1,Sales,3,2.0,3.0,2,5,6,3.0,7,0,1,0,3,Marketing,3
1308,No,Female,3,Married,48550,25,4,Laboratory Technician,1,Research & Development,4,1.0,3.0,2,0,2,1.0,3,1,1,4,1,Medical,5
1309,No,Male,1,Married,40870,20,3,Research Scientist,2,Sales,4,1.0,3.0,3,0,1,2.0,2,3,0,0,2,Marketing,1
1310,No,Male,1,Married,23670,13,5,Laboratory Technician,2,Sales,3,2.0,3.0,2,0,2,4.0,4,0,0,0,4,Medical,1
1311,No,Male,3,Single,29720,14,37,Sales Executive,2,Research & Development,3,4.0,3.0,4,1,2,2.0,8,0,3,0,4,Life Sciences,1
1312,No,Female,2,Married,195860,16,3,Research Scientist,1,Research & Development,3,2.0,2.0,2,1,3,4.0,2,0,1,2,2,Medical,4
1314,No,Female,1,Single,20610,15,1,Sales Representative,1,Human Resources,3,4.0,1.0,2,0,2,3.0,0,1,0,0,2,Human Resources,2
1315,Yes,Female,0,Single,99240,22,1,Healthcare Representative,2,Sales,4,4.0,4.0,3,1,3,3.0,0,0,0,0,4,Life Sciences,0
1316,No,Male,1,Single,41980,22,16,Laboratory Technician,4,Research & Development,4,1.0,3.0,2,2,2,3.0,10,1,1,0,4,Other,0
1317,No,Male,1,Divorced,68150,20,1,Research Scientist,1,Sales,4,3.0,4.0,3,0,3,4.0,0,1,1,2,2,Life Sciences,4
1318,No,Male,3,Married,47230,14,3,Sales Executive,2,Research & Development,3,3.0,4.0,3,2,0,3.0,2,0,3,4,2,Life Sciences,2
1319,No,Male,2,Married,61420,13,8,Research Scientist,4,Research & Development,3,1.0,2.0,2,0,3,2.0,7,2,2,1,4,Medical,0
1320,Yes,Male,1,Single,82370,13,6,Research Director,2,Sales,3,3.0,3.0,2,0,6,3.0,3,0,0,0,1,Marketing,2
1321,No,Male,1,Married,88530,22,2,Laboratory Technician,1,Research & Development,4,4.0,4.0,3,2,3,3.0,1,1,0,0,3,Technical Degree,5
1322,No,Male,1,Single,193310,12,0,Sales Representative,1,Research & Development,3,2.0,4.0,3,0,2,3.0,0,1,0,0,1,Life Sciences,0
1323,No,Female,2,Single,20730,14,13,Sales Executive,1,Research & Development,3,1.0,1.0,3,12,4,2.0,8,1,2,1,3,Life Sciences,0
1325,No,Male,3,Single,196130,17,5,Laboratory Technician,1,Research & Development,3,4.0,4.0,3,4,5,3.0,4,0,2,1,3,Life Sciences,1
1326,No,Male,1,Married,34070,13,5,Laboratory Technician,2,Research & Development,3,2.0,3.0,3,1,4,3.0,2,1,0,0,1,Life Sciences,0
1327,No,Female,1,Divorced,50630,12,1,Sales Representative,2,Sales,3,3.0,2.0,3,0,2,3.0,0,1,1,3,3,Marketing,0
1328,No,Male,1,Single,46390,12,5,Laboratory Technician,1,Sales,3,3.0,4.0,3,1,3,3.0,3,2,1,1,1,Technical Degree,1
1329,No,Male,1,Single,48760,21,11,Healthcare Representative,2,Sales,4,3.0,1.0,3,5,3,3.0,8,1,1,1,2,Medical,1
1330,No,Male,1,Married,26900,11,9,Research Scientist,1,Human Resources,3,2.0,4.0,3,2,1,3.0,8,0,1,0,3,Medical,1
1331,No,Female,1,Divorced,175670,13,1,Manufacturing Director,2,Research & Development,3,1.0,4.0,3,0,6,3.0,0,0,0,2,3,Medical,0
1332,No,Male,2,Married,24080,12,25,Sales Executive,1,Research & Development,3,3.0,4.0,3,4,3,4.0,12,1,2,0,4,Life Sciences,0
1333,No,Female,1,Divorced,28140,24,10,Healthcare Representative,3,Research & Development,4,1.0,3.0,3,0,2,2.0,9,0,1,0,3,Life Sciences,2
1334,No,Male,1,Married,112450,21,7,Sales Executive,2,Sales,4,3.0,2.0,3,0,3,4.0,7,0,0,0,3,Life Sciences,1
1335,Yes,Male,3,Married,33120,19,5,Laboratory Technician,2,Research & Development,3,2.0,2.0,1,4,1,3.0,3,0,0,4,3,Life Sciences,3
1336,No,Female,2,Single,190490,14,20,Sales Representative,2,Research & Development,3,1.0,3.0,3,15,2,3.0,15,1,2,3,2,Other,0
1337,Yes,Female,1,Married,21410,20,7,Sales Executive,3,Research & Development,4,2.0,3.0,3,7,2,2.0,7,0,1,2,4,Technical Degree,0
1338,No,Female,1,Married,57690,19,5,Manager,2,Sales,3,3.0,2.0,2,4,4,2.0,3,0,0,0,3,Medical,3
1339,Yes,Female,3,Married,43850,13,40,Research Scientist,1,Sales,3,4.0,4.0,2,15,2,2.0,6,1,3,0,2,Medical,0
1340,Yes,Male,0,Single,53320,23,0,Manager,1,Research & Development,4,4.0,3.0,3,0,2,2.0,0,1,0,0,2,Life Sciences,1
1341,No,Male,1,Married,46630,13,2,Sales Executive,1,Sales,3,3.0,4.0,3,2,1,3.0,1,1,0,0,4,Technical Degree,5
1342,No,Female,2,Married,47240,11,15,Sales Executive,1,Research & Development,3,3.0,1.0,2,5,3,2.0,11,1,1,0,3,Life Sciences,0
1343,No,Male,2,Single,32110,13,3,Sales Executive,1,Sales,3,2.0,3.0,4,1,2,3.0,2,0,1,2,2,Life Sciences,0
1344,No,Male,2,Single,53770,14,2,Sales Executive,2,Research & Development,3,3.0,4.0,4,2,3,3.0,1,1,1,2,4,Life Sciences,3
1345,Yes,Female,1,Married,40660,22,2,Sales Executive,2,Research & Development,4,2.0,3.0,2,2,2,3.0,2,0,0,1,1,Medical,3
1346,No,Male,2,Divorced,52080,11,9,Manufacturing Director,1,Research & Development,3,3.0,3.0,1,0,2,3.0,7,3,1,1,2,Other,3
1347,No,Male,1,Married,48770,13,8,Sales Executive,2,Research & Development,3,3.0,3.0,4,5,5,3.0,7,1,0,0,4,Life Sciences,3
1348,No,Male,1,Divorced,31170,21,3,Research Scientist,2,Human Resources,4,2.0,2.0,4,0,2,3.0,1,1,0,3,1,Human Resources,5
1349,Yes,Female,2,Single,15690,11,4,Manager,1,Research & Development,3,1.0,4.0,4,0,2,3.0,3,0,1,1,3,Life Sciences,1
1350,No,Female,2,Married,196580,13,15,Research Scientist,1,Research & Development,3,4.0,3.0,4,5,3,4.0,9,1,1,2,3,Life Sciences,1
1351,No,Female,1,Married,30690,14,2,Research Scientist,3,Sales,3,1.0,3.0,2,2,3,3.0,2,1,0,1,1,Medical,5
1352,No,Male,1,Married,104350,11,11,Laboratory Technician,2,Research & Development,3,3.0,4.0,3,4,5,1.0,7,0,1,0,1,Medical,4
1353,Yes,Female,1,Single,41480,15,5,Research Director,2,Research & Development,3,1.0,1.0,2,0,0,4.0,4,0,1,3,4,Life Sciences,0
1354,No,Female,2,Single,57680,23,6,Healthcare Representative,2,Research & Development,4,3.0,4.0,3,0,4,2.0,3,1,0,2,1,Technical Degree,0
1355,No,Female,2,Single,50420,16,3,Research Director,2,Research & Development,3,4.0,3.0,3,2,4,3.0,2,1,1,1,4,Life Sciences,1
1356,No,Female,1,Single,57700,16,5,Laboratory Technician,2,Sales,3,1.0,3.0,4,0,2,2.0,4,1,0,0,3,Marketing,2
1357,No,Male,1,Divorced,77560,21,8,Laboratory Technician,3,Sales,4,4.0,4.0,3,0,3,4.0,7,0,0,0,3,Marketing,0
1358,No,Female,1,Divorced,103060,13,3,Sales Executive,3,Research & Development,3,4.0,1.0,3,2,5,3.0,2,0,0,2,3,Medical,0
1359,No,Male,1,Single,39360,11,5,Research Scientist,2,Sales,3,2.0,4.0,3,1,3,3.0,2,1,0,0,3,Medical,1
1360,No,Female,2,Divorced,79450,12,7,Manufacturing Director,3,Sales,3,4.0,1.0,2,7,6,2.0,7,1,2,2,2,Medical,2
1361,No,Male,2,Married,57430,12,5,Research Scientist,4,Research & Development,3,3.0,1.0,4,1,2,3.0,4,3,0,1,4,Medical,2
1362,No,Female,0,Single,152020,18,1,Manufacturing Director,5,Research & Development,3,2.0,2.0,2,0,2,3.0,0,3,0,0,3,Other,0
1363,No,Male,2,Divorced,54400,12,20,Manufacturing Director,2,Research & Development,3,2.0,2.0,3,2,2,3.0,13,1,2,0,4,Medical,5
1364,No,Female,1,Married,37600,14,10,Laboratory Technician,3,Sales,3,3.0,2.0,3,0,2,3.0,6,3,1,0,1,Marketing,1
1365,No,Female,2,Married,35170,12,7,Manufacturing Director,5,Sales,3,2.0,3.0,2,4,1,1.0,5,1,1,1,2,Life Sciences,2
1366,No,Male,2,Divorced,25800,17,17,Research Scientist,1,Sales,3,2.0,2.0,3,0,3,1.0,15,3,2,4,4,Technical Degree,0
1367,No,Female,1,Single,21660,19,9,Manufacturing Director,1,Sales,3,2.0,4.0,1,3,4,3.0,7,1,0,0,2,Life Sciences,0
1368,No,Male,1,Married,58690,11,10,Healthcare Representative,3,Research & Development,3,4.0,3.0,4,0,6,3.0,9,1,1,0,4,Technical Degree,2
1369,No,Female,2,Married,80080,15,1,Research Director,3,Research & Development,3,2.0,3.0,3,0,4,3.0,0,1,1,1,3,Other,0
1370,No,Female,3,Married,52060,11,1,Research Scientist,1,Sales,3,2.0,2.0,1,0,4,2.0,0,3,0,2,3,Marketing,0
1371,No,Male,2,Married,52950,18,12,Laboratory Technician,4,Research & Development,3,3.0,4.0,3,2,4,2.0,11,0,1,3,2,Technical Degree,2
1372,No,Male,1,Married,164130,16,4,Manufacturing Director,2,Sales,3,3.0,3.0,3,1,1,3.0,2,0,0,3,4,Marketing,4
1373,No,Male,1,Married,132690,25,2,Laboratory Technician,1,Research & Development,4,3.0,4.0,3,2,2,3.0,2,1,0,0,3,Medical,0
1374,No,Male,1,Divorced,27830,16,2,Healthcare Representative,1,Research & Development,3,4.0,2.0,4,2,2,1.0,2,1,0,3,3,Medical,0
1375,No,Male,1,Married,54330,13,5,Healthcare Representative,2,Sales,3,3.0,4.0,2,0,4,1.0,2,1,0,0,4,Life Sciences,0
1376,No,Male,3,Divorced,20130,14,5,Manufacturing Director,2,Research & Development,3,3.0,4.0,3,1,5,1.0,4,1,1,1,3,Life Sciences,0
1377,No,Male,1,Divorced,139660,19,1,Manufacturing Director,1,Research & Development,3,3.0,3.0,3,0,1,2.0,1,0,0,0,3,Life Sciences,0
1378,No,Female,2,Single,43740,15,5,Manufacturing Director,2,Research & Development,3,3.0,2.0,4,4,5,3.0,4,1,2,1,3,Life Sciences,0
1379,No,Male,2,Divorced,68420,12,9,Laboratory Technician,4,Sales,3,1.0,3.0,3,1,3,3.0,8,1,1,2,4,Marketing,1
1380,No,Female,1,Married,174260,12,10,Manager,1,Human Resources,3,2.0,4.0,2,7,0,3.0,4,1,1,1,4,Human Resources,0
1381,No,Male,2,Single,176030,16,8,Laboratory Technician,2,Sales,3,1.0,4.0,2,0,0,4.0,7,0,1,2,1,Medical,0
1382,No,Female,1,Single,45810,14,5,Manufacturing Director,1,Research & Development,3,3.0,3.0,3,1,3,3.0,4,1,0,1,3,Medical,4
1383,No,Male,1,Married,47350,13,5,Healthcare Representative,2,Research & Development,3,3.0,2.0,3,1,2,2.0,1,0,0,0,4,Medical,1
1384,Yes,Male,0,Single,41870,22,0,Healthcare Representative,2,Research & Development,4,3.0,1.0,3,0,4,4.0,0,1,0,0,2,Life Sciences,2
1385,No,Female,1,Single,55050,21,8,Research Director,2,Sales,4,4.0,2.0,3,7,3,2.0,2,2,1,2,3,Marketing,5
1386,No,Female,1,Divorced,54700,18,12,Sales Executive,1,Sales,3,3.0,1.0,3,6,2,3.0,10,1,1,0,3,Medical,0
1387,No,Male,2,Divorced,54760,13,5,Sales Executive,2,Research & Development,3,3.0,1.0,3,0,3,4.0,3,1,0,2,2,Medical,4
1388,No,Male,3,Divorced,25870,12,2,Manager,4,Research & Development,3,3.0,1.0,2,2,2,3.0,2,0,1,2,3,Life Sciences,0
1389,No,Male,1,Single,24400,18,3,Sales Executive,1,Research & Development,3,3.0,4.0,3,0,4,4.0,2,3,0,0,2,Medical,0
1390,Yes,Male,0,Single,159720,21,1,Sales Executive,2,Research & Development,4,2.0,4.0,3,1,2,2.0,0,0,0,0,2,Life Sciences,1
1391,No,Female,2,Divorced,153790,12,24,Laboratory Technician,2,Research & Development,3,2.0,1.0,1,15,1,3.0,7,0,2,0,3,Technical Degree,2
1392,No,Male,2,Single,70820,14,2,Manufacturing Director,1,Sales,3,3.0,4.0,4,2,3,3.0,1,0,0,0,4,Life Sciences,0
1393,No,Male,1,Married,27280,11,4,Sales Representative,2,Sales,3,3.0,4.0,4,0,3,3.0,2,0,0,4,5,Life Sciences,0
1394,No,Female,1,Single,53680,14,3,Manager,2,Sales,3,4.0,2.0,3,1,2,3.0,2,1,0,1,3,Marketing,1
1395,Yes,Male,2,Single,53470,24,4,Laboratory Technician,5,Research & Development,4,2.0,2.0,3,0,1,2.0,2,1,0,0,4,Life Sciences,3
1396,No,Male,2,Married,31950,11,3,Sales Executive,3,Sales,3,3.0,3.0,2,0,4,2.0,2,0,0,1,4,Marketing,3
1397,No,Male,2,Divorced,39890,13,4,Manager,1,Sales,3,4.0,1.0,3,1,2,3.0,3,0,0,0,2,Life Sciences,0
1398,No,Male,1,Married,33060,11,8,Human Resources,1,Research & Development,3,4.0,2.0,1,1,6,3.0,6,3,0,0,3,Life Sciences,0
1399,No,Female,2,Married,70050,20,20,Sales Executive,2,Research & Development,4,4.0,3.0,3,9,2,3.0,9,2,2,0,3,Life Sciences,2
1400,No,Female,3,Single,26550,17,24,Laboratory Technician,2,Research & Development,3,3.0,2.0,2,2,0,3.0,15,0,3,4,1,Life Sciences,1
1401,No,Female,1,Married,13930,11,10,Research Scientist,1,Human Resources,3,4.0,3.0,4,1,4,2.0,9,2,1,0,4,Other,1
1402,No,Male,2,Single,25700,18,7,Sales Representative,2,Human Resources,3,4.0,2.0,3,1,2,3.0,0,0,2,1,2,Human Resources,0
1403,No,Female,2,Married,35370,11,33,Sales Representative,2,Research & Development,3,3.0,3.0,3,11,3,3.0,9,1,3,0,4,Medical,0
1404,No,Male,1,Single,39860,12,7,Research Scientist,1,Sales,3,4.0,2.0,3,0,3,2.0,3,2,0,0,3,Marketing,3
1405,Yes,Female,1,Married,108830,12,1,Research Director,2,Research & Development,3,2.0,3.0,4,0,3,3.0,1,0,0,1,4,Life Sciences,0
1406,No,Male,2,Divorced,20280,20,5,Healthcare Representative,1,Research & Development,4,4.0,4.0,2,2,2,4.0,2,1,0,2,2,Medical,1
1407,No,Female,2,Married,95250,19,20,Sales Executive,1,Research & Development,3,1.0,4.0,3,11,3,3.0,8,0,2,4,2,Medical,1
1409,No,Male,1,Single,22750,13,6,Research Director,2,Research & Development,3,2.0,2.0,4,1,2,3.0,2,0,1,2,3,Other,0
1410,No,Male,2,Divorced,78790,11,5,Sales Executive,2,Research & Development,3,3.0,3.0,3,0,2,3.0,2,1,1,1,1,Technical Degree,0
1411,No,Male,2,Married,49300,14,1,Research Scientist,5,Sales,3,4.0,3.0,3,0,0,3.0,0,0,1,4,2,Marketing,1
1412,No,Female,2,Married,78470,14,7,Manufacturing Director,1,Human Resources,3,4.0,4.0,4,1,3,1.0,7,1,0,1,1,Human Resources,5
1413,No,Male,1,Married,44010,13,2,Manager,1,Research & Development,3,3.0,1.0,2,2,4,3.0,0,0,0,2,4,Medical,2
1414,No,Female,2,Divorced,92410,19,7,Sales Executive,2,Research & Development,3,4.0,4.0,3,1,5,3.0,7,1,0,0,1,Other,4
1415,No,Male,1,Divorced,29740,23,5,Sales Representative,4,Research & Development,4,4.0,3.0,3,2,2,4.0,0,0,0,0,2,Medical,1
1416,No,Female,2,Married,45020,12,7,Laboratory Technician,1,Research & Development,3,3.0,4.0,2,3,0,4.0,7,2,1,4,3,Medical,4
1417,Yes,Female,2,Married,107480,15,1,Research Scientist,3,Sales,3,2.0,1.0,3,0,3,3.0,0,0,1,3,4,Life Sciences,1
1418,Yes,Female,1,Married,15550,19,10,Research Scientist,2,Sales,3,2.0,4.0,3,1,2,2.0,9,2,1,0,2,Life Sciences,2
1419,No,Female,1,Divorced,129360,11,4,Healthcare Representative,4,Research & Development,3,4.0,2.0,3,2,3,2.0,2,2,0,0,3,Life Sciences,0
1420,No,Female,1,Single,23050,17,8,Laboratory Technician,2,Research & Development,3,2.0,4.0,3,1,3,3.0,7,0,0,0,3,Life Sciences,0
1421,No,Male,2,Married,167040,22,3,Manufacturing Director,1,Research & Development,4,4.0,4.0,4,0,2,1.0,2,0,0,4,2,Life Sciences,5
1422,No,Male,2,Divorced,34330,18,4,Research Scientist,5,Research & Development,3,4.0,1.0,3,0,3,3.0,3,0,1,3,1,Medical,5
1423,Yes,Male,1,Married,34770,11,14,Healthcare Representative,1,Research & Development,3,4.0,4.0,4,9,2,2.0,8,0,1,0,3,Medical,1
1424,No,Male,1,Single,64300,12,11,Healthcare Representative,2,Research & Development,3,3.0,3.0,2,5,2,3.0,8,1,1,0,4,Life Sciences,3
1425,No,Female,1,Single,65160,19,7,Laboratory Technician,1,Research & Development,3,4.0,3.0,3,0,4,3.0,7,1,0,0,2,Medical,3
1426,No,Female,2,Married,39070,13,10,Manufacturing Director,1,Research & Development,3,2.0,2.0,3,4,2,1.0,7,0,1,2,1,Medical,0
1427,Yes,Female,1,Single,55620,13,5,Research Scientist,2,Research & Development,3,4.0,1.0,2,0,3,3.0,4,0,0,2,4,Life Sciences,2
1428,No,Male,2,Single,68830,19,1,Human Resources,2,Research & Development,3,4.0,4.0,2,0,3,3.0,0,2,1,1,3,Life Sciences,0
1429,Yes,Male,1,Single,28620,14,6,Healthcare Representative,2,Sales,3,3.0,1.0,2,0,2,2.0,1,0,0,2,2,Medical,0
1430,Yes,Male,1,Single,49780,13,6,Sales Executive,1,Research & Development,3,3.0,3.0,2,1,3,2.0,5,0,0,0,3,Life Sciences,0
1431,No,Female,2,Single,103680,12,19,Research Scientist,2,Research & Development,3,4.0,4.0,3,12,2,3.0,8,2,2,3,3,Medical,0
1432,No,Female,3,Married,61340,19,6,Laboratory Technician,2,Sales,3,4.0,1.0,2,0,2,3.0,5,0,1,1,2,Marketing,1
1433,No,Male,1,Single,67350,25,13,Healthcare Representative,1,Research & Development,4,4.0,2.0,2,3,3,4.0,7,2,1,4,4,Life Sciences,3
1434,No,Female,1,Married,32950,22,3,Sales Executive,3,Sales,4,3.0,2.0,3,1,2,3.0,1,2,0,3,1,Other,1
1435,No,Male,1,Divorced,52380,15,10,Laboratory Technician,2,Sales,3,2.0,4.0,3,0,5,3.0,7,1,1,0,4,Life Sciences,0
1436,No,Male,2,Divorced,64720,12,16,Laboratory Technician,4,Research & Development,3,1.0,3.0,3,5,4,2.0,13,0,1,0,2,Medical,0
1437,No,Female,1,Married,96100,11,5,Research Scientist,3,Sales,3,3.0,3.0,2,1,2,3.0,4,1,0,0,1,Medical,0
1438,No,Female,3,Married,198330,13,1,Manager,3,Research & Development,3,3.0,4.0,3,0,2,3.0,0,0,0,1,3,Life Sciences,1
1439,No,Female,1,Divorced,97560,19,9,Laboratory Technician,2,Sales,3,1.0,4.0,3,5,2,3.0,8,0,1,2,3,Marketing,0
1440,No,Female,1,Married,49680,19,11,Sales Executive,1,Sales,3,2.0,4.0,3,4,4,3.0,1,3,1,0,4,Medical,3
1441,No,Female,1,Single,21450,13,10,Sales Executive,1,Research & Development,3,3.0,3.0,2,0,6,4.0,8,0,1,0,3,Life Sciences,3
1442,Yes,Female,1,Single,21800,21,4,Research Scientist,1,Research & Development,4,3.0,4.0,3,0,2,2.0,1,0,0,0,1,Life Sciences,1
1443,No,Female,2,Single,83460,14,2,Manager,4,Research & Development,3,3.0,4.0,3,2,5,2.0,2,0,0,3,2,Medical,0
1444,No,Female,2,Married,34450,11,22,Sales Executive,2,Research & Development,3,3.0,4.0,3,11,2,3.0,15,2,2,0,4,Life Sciences,1
1445,No,Male,3,Married,27600,11,2,Healthcare Representative,1,Research & Development,3,2.0,3.0,4,2,3,2.0,2,0,0,4,4,Technical Degree,0
1446,No,Male,2,Divorced,62940,23,7,Sales Executive,2,Research & Development,4,4.0,4.0,4,0,2,2.0,6,1,3,1,2,Life Sciences,2
1447,Yes,Male,1,Married,71400,21,5,Research Scientist,1,Sales,4,3.0,4.0,2,0,2,1.0,4,0,0,2,4,Marketing,2
